protocol,client_id,client_count,payload_bytes,request_num,connect_time_ms,rtt_ms,timestamp
udp,0,10,512,0,0.0,1.933,1772315119.0256124
udp,0,10,512,1,0.0,0.8556,1772315119.026471
udp,0,10,512,2,0.0,0.8445,1772315119.0273192
udp,0,10,512,3,0.0,0.7024,1772315119.028025
udp,0,10,512,4,0.0,0.3342,1772315119.0283618
udp,0,10,512,5,0.0,0.3523,1772315119.0287194
udp,0,10,512,6,0.0,0.3917,1772315119.029113
udp,0,10,512,7,0.0,0.3348,1772315119.0294502
udp,0,10,512,8,0.0,0.3046,1772315119.029757
udp,0,10,512,9,0.0,0.3611,1772315119.030123
udp,0,10,512,10,0.0,0.3007,1772315119.0304255
udp,0,10,512,11,0.0,0.2183,1772315119.0306463
udp,0,10,512,12,0.0,0.4352,1772315119.0310833
udp,0,10,512,13,0.0,0.3287,1772315119.0314138
udp,0,10,512,14,0.0,0.4021,1772315119.0318208
udp,0,10,512,15,0.0,0.3544,1772315119.032177
udp,0,10,512,16,0.0,0.3353,1772315119.032514
udp,0,10,512,17,0.0,0.3123,1772315119.0328283
udp,0,10,512,18,0.0,0.3154,1772315119.033146
udp,0,10,512,19,0.0,0.3072,1772315119.033455
udp,0,10,512,20,0.0,0.3015,1772315119.033758
udp,0,10,512,21,0.0,0.3082,1772315119.0340679
udp,0,10,512,22,0.0,0.3312,1772315119.0344007
udp,0,10,512,23,0.0,0.2617,1772315119.0346642
udp,0,10,512,24,0.0,0.357,1772315119.0350232
udp,0,10,512,25,0.0,0.2933,1772315119.0353184
udp,0,10,512,26,0.0,0.2889,1772315119.0356092
udp,0,10,512,27,0.0,0.6285,1772315119.03624
udp,0,10,512,28,0.0,0.5772,1772315119.0368195
udp,0,10,512,29,0.0,0.7131,1772315119.0375345
udp,0,10,512,30,0.0,0.5721,1772315119.0381083
udp,0,10,512,31,0.0,0.6151,1772315119.0387251
udp,0,10,512,32,0.0,0.6327,1772315119.0393596
udp,0,10,512,33,0.0,0.5685,1772315119.03993
udp,0,10,512,34,0.0,0.6567,1772315119.0405886
udp,0,10,512,35,0.0,0.6983,1772315119.0412884
udp,0,10,512,36,0.0,0.7113,1772315119.0420017
udp,0,10,512,37,0.0,0.7289,1772315119.0427337
udp,0,10,512,38,0.0,0.7719,1772315119.0435164
udp,0,10,512,39,0.0,0.6218,1772315119.044141
udp,0,10,512,40,0.0,0.5738,1772315119.0447173
udp,0,10,512,41,0.0,0.7733,1772315119.0454934
udp,0,10,512,42,0.0,0.5472,1772315119.0460424
udp,0,10,512,43,0.0,0.6784,1772315119.0467231
udp,0,10,512,44,0.0,0.59,1772315119.0473151
udp,0,10,512,45,0.0,0.6581,1772315119.047975
udp,0,10,512,46,0.0,0.6087,1772315119.0485857
udp,0,10,512,47,0.0,0.7273,1772315119.0493145
udp,0,10,512,48,0.0,0.5603,1772315119.0498765
udp,0,10,512,49,0.0,0.6487,1772315119.0505269
udp,0,10,512,50,0.0,0.6585,1772315119.0511873
udp,0,10,512,51,0.0,0.6385,1772315119.0518274
udp,0,10,512,52,0.0,0.7088,1772315119.052538
udp,0,10,512,53,0.0,0.2675,1772315119.0528073
udp,0,10,512,54,0.0,0.2961,1772315119.0531056
udp,0,10,512,55,0.0,0.3153,1772315119.0534227
udp,0,10,512,56,0.0,0.2845,1772315119.053709
udp,0,10,512,57,0.0,0.6997,1772315119.0544107
udp,0,10,512,58,0.0,0.6717,1772315119.0550845
udp,0,10,512,59,0.0,0.4276,1772315119.0555139
udp,0,10,512,60,0.0,0.725,1772315119.0562408
