protocol,client_id,client_count,payload_bytes,request_num,connect_time_ms,rtt_ms,timestamp
tcp,0,1,512,0,0.9542,1.1928,1772314950.2986906
tcp,0,1,512,1,0.9542,0.7562,1772314950.2994506
tcp,0,1,512,2,0.9542,0.7167,1772314950.3001697
tcp,0,1,512,3,0.9542,0.4316,1772314950.3006032
tcp,0,1,512,4,0.9542,0.4256,1772314950.3010304
tcp,0,1,512,5,0.9542,0.4971,1772314950.3015296
tcp,0,1,512,6,0.9542,0.4512,1772314950.3019822
tcp,0,1,512,7,0.9542,0.2678,1772314950.3022518
tcp,0,1,512,8,0.9542,0.2531,1772314950.3025062
tcp,0,1,512,9,0.9542,0.1888,1772314950.3026967
tcp,0,1,512,10,0.9542,0.1885,1772314950.3028867
tcp,0,1,512,11,0.9542,0.2592,1772314950.3031476
tcp,0,1,512,12,0.9542,0.2537,1772314950.3034027
tcp,0,1,512,13,0.9542,0.2642,1772314950.3036683
tcp,0,1,512,14,0.9542,0.2512,1772314950.303921
tcp,0,1,512,15,0.9542,0.2542,1772314950.3041766
tcp,0,1,512,16,0.9542,0.2477,1772314950.3044257
tcp,0,1,512,17,0.9542,0.2479,1772314950.3046753
tcp,0,1,512,18,0.9542,0.2549,1772314950.3049319
tcp,0,1,512,19,0.9542,0.25,1772314950.3051834
tcp,0,1,512,20,0.9542,0.2516,1772314950.3054364
tcp,0,1,512,21,0.9542,0.2584,1772314950.3056984
tcp,0,1,512,22,0.9542,0.2552,1772314950.3059552
tcp,0,1,512,23,0.9542,0.2527,1772314950.306209
tcp,0,1,512,24,0.9542,0.2555,1772314950.306466
tcp,0,1,512,25,0.9542,0.2462,1772314950.3067138
tcp,0,1,512,26,0.9542,0.2493,1772314950.3069646
tcp,0,1,512,27,0.9542,0.251,1772314950.3072176
tcp,0,1,512,28,0.9542,0.2546,1772314950.3074737
tcp,0,1,512,29,0.9542,0.25,1772314950.3077254
tcp,0,1,512,30,0.9542,0.2499,1772314950.3079767
tcp,0,1,512,31,0.9542,0.2532,1772314950.3082314
tcp,0,1,512,32,0.9542,0.2506,1772314950.3084836
tcp,0,1,512,33,0.9542,0.2514,1772314950.3087366
tcp,0,1,512,34,0.9542,0.2541,1772314950.3089943
