protocol,client_id,client_count,payload_bytes,request_num,connect_time_ms,rtt_ms,timestamp
tcp,0,1,64,0,1.7719,1.1153,1772314924.8948698
tcp,0,1,64,1,1.7719,0.242,1772314924.8951142
tcp,0,1,64,2,1.7719,0.4129,1772314924.895528
tcp,0,1,64,3,1.7719,0.4174,1772314924.8959463
tcp,0,1,64,4,1.7719,0.2606,1772314924.8962085
tcp,0,1,64,5,1.7719,0.2201,1772314924.8964295
tcp,0,1,64,6,1.7719,0.2394,1772314924.8966696
tcp,0,1,64,7,1.7719,0.2317,1772314924.8969018
tcp,0,1,64,8,1.7719,0.2347,1772314924.8971372
tcp,0,1,64,9,1.7719,0.2371,1772314924.8973749
tcp,0,1,64,10,1.7719,0.2385,1772314924.897614
tcp,0,1,64,11,1.7719,0.2251,1772314924.8978398
tcp,0,1,64,12,1.7719,0.2005,1772314924.898041
tcp,0,1,64,13,1.7719,0.2318,1772314924.8982732
tcp,0,1,64,14,1.7719,0.1871,1772314924.8984609
tcp,0,1,64,15,1.7719,0.1179,1772314924.8985794
tcp,0,1,64,16,1.7719,0.1204,1772314924.8987005
tcp,0,1,64,17,1.7719,0.1267,1772314924.8988278
tcp,0,1,64,18,1.7719,0.1213,1772314924.8989496
tcp,0,1,64,19,1.7719,0.1228,1772314924.8990731
tcp,0,1,64,20,1.7719,0.1194,1772314924.899193
tcp,0,1,64,21,1.7719,0.12,1772314924.8993146
tcp,0,1,64,22,1.7719,0.1263,1772314924.8994417
tcp,0,1,64,23,1.7719,0.1273,1772314924.8995695
tcp,0,1,64,24,1.7719,0.1447,1772314924.8997147
tcp,0,1,64,25,1.7719,0.2257,1772314924.8999414
tcp,0,1,64,26,1.7719,0.2211,1772314924.9001632
tcp,0,1,64,27,1.7719,0.2388,1772314924.9004028
tcp,0,1,64,28,1.7719,0.2223,1772314924.9006257
tcp,0,1,64,29,1.7719,0.2223,1772314924.9008484
tcp,0,1,64,30,1.7719,0.2203,1772314924.9010694
tcp,0,1,64,31,1.7719,0.2318,1772314924.9013019
tcp,0,1,64,32,1.7719,0.215,1772314924.9015174
tcp,0,1,64,33,1.7719,0.2018,1772314924.9017198
tcp,0,1,64,34,1.7719,0.1862,1772314924.9019074
tcp,0,1,64,35,1.7719,0.2258,1772314924.9021337
tcp,0,1,64,36,1.7719,0.2192,1772314924.9023538
tcp,0,1,64,37,1.7719,0.1852,1772314924.9025395
tcp,0,1,64,38,1.7719,0.1268,1772314924.902667
tcp,0,1,64,39,1.7719,0.119,1772314924.9027865
tcp,0,1,64,40,1.7719,0.2273,1772314924.9030151
tcp,0,1,64,41,1.7719,0.2066,1772314924.9032228
tcp,0,1,64,42,1.7719,0.239,1772314924.9034624
tcp,0,1,64,43,1.7719,0.2297,1772314924.9036925
tcp,0,1,64,44,1.7719,0.2326,1772314924.9039257
tcp,0,1,64,45,1.7719,0.2294,1772314924.9041557
tcp,0,1,64,46,1.7719,0.2321,1772314924.9043884
tcp,0,1,64,47,1.7719,0.2299,1772314924.9046197
tcp,0,1,64,48,1.7719,0.2087,1772314924.904829
tcp,0,1,64,49,1.7719,0.1294,1772314924.904959
tcp,0,1,64,50,1.7719,0.1293,1772314924.9050887
tcp,0,1,64,51,1.7719,0.1083,1772314924.9051979
tcp,0,1,64,52,1.7719,0.2344,1772314924.905433
tcp,0,1,64,53,1.7719,0.2306,1772314924.905664
tcp,0,1,64,54,1.7719,0.2127,1772314924.9058774
tcp,0,1,64,55,1.7719,0.2324,1772314924.9061105
tcp,0,1,64,56,1.7719,0.212,1772314924.906323
tcp,0,1,64,57,1.7719,0.2384,1772314924.906562
tcp,0,1,64,58,1.7719,0.2216,1772314924.9067843
tcp,0,1,64,59,1.7719,0.2184,1772314924.9070032
tcp,0,1,64,60,1.7719,0.2142,1772314924.9072192
tcp,0,1,64,61,1.7719,0.2185,1772314924.9074383
tcp,0,1,64,62,1.7719,0.2211,1772314924.9076598
tcp,0,1,64,63,1.7719,0.2183,1772314924.9078789
tcp,0,1,64,64,1.7719,0.2479,1772314924.9081273
tcp,0,1,64,65,1.7719,0.2182,1772314924.9083464
tcp,0,1,64,66,1.7719,0.2308,1772314924.9085777
tcp,0,1,64,67,1.7719,0.2351,1772314924.9088132
tcp,0,1,64,68,1.7719,0.2266,1772314924.9090407
tcp,0,1,64,69,1.7719,0.1141,1772314924.9091554
tcp,0,1,64,70,1.7719,0.1274,1772314924.9092834
tcp,0,1,64,71,1.7719,0.1361,1772314924.90942
tcp,0,1,64,72,1.7719,0.1101,1772314924.9095306
tcp,0,1,64,73,1.7719,0.1248,1772314924.909656
tcp,0,1,64,74,1.7719,0.1279,1772314924.9097846
tcp,0,1,64,75,1.7719,0.1197,1772314924.909905
tcp,0,1,64,76,1.7719,0.2383,1772314924.9101439
tcp,0,1,64,77,1.7719,0.1884,1772314924.910333
tcp,0,1,64,78,1.7719,0.2332,1772314924.9105666
tcp,0,1,64,79,1.7719,0.1183,1772314924.9106865
tcp,0,1,64,80,1.7719,0.1187,1772314924.9108055
tcp,0,1,64,81,1.7719,0.1262,1772314924.9109325
tcp,0,1,64,82,1.7719,0.2404,1772314924.9111733
tcp,0,1,64,83,1.7719,0.2354,1772314924.9114094
tcp,0,1,64,84,1.7719,0.1893,1772314924.9115994
tcp,0,1,64,85,1.7719,0.1283,1772314924.9117281
tcp,0,1,64,86,1.7719,0.1128,1772314924.9118416
tcp,0,1,64,87,1.7719,0.1262,1772314924.9119682
tcp,0,1,64,88,1.7719,0.1729,1772314924.9121418
tcp,0,1,64,89,1.7719,0.233,1772314924.9123752
tcp,0,1,64,90,1.7719,0.2315,1772314924.9126074
tcp,0,1,64,91,1.7719,0.2161,1772314924.9128244
tcp,0,1,64,92,1.7719,0.2134,1772314924.9130383
tcp,0,1,64,93,1.7719,0.2162,1772314924.9132552
tcp,0,1,64,94,1.7719,0.2255,1772314924.9134812
tcp,0,1,64,95,1.7719,0.2199,1772314924.9137018
tcp,0,1,64,96,1.7719,0.225,1772314924.9139273
tcp,0,1,64,97,1.7719,0.1117,1772314924.9140399
tcp,0,1,64,98,1.7719,0.192,1772314924.914233
tcp,0,1,64,99,1.7719,0.2274,1772314924.9144619
