protocol,client_id,client_count,payload_bytes,request_num,connect_time_ms,rtt_ms,timestamp
tcp,0,10,1024,0,1.7164,1.4892,1772314981.459151
tcp,0,10,1024,1,1.7164,0.7407,1772314981.4598973
tcp,0,10,1024,2,1.7164,0.3067,1772314981.4602082
tcp,0,10,1024,3,1.7164,0.4211,1772314981.460632
tcp,0,10,1024,4,1.7164,0.291,1772314981.4609256
tcp,0,10,1024,5,1.7164,0.2215,1772314981.4611492
tcp,0,10,1024,6,1.7164,0.5195,1772314981.4616723
tcp,0,10,1024,7,1.7164,0.2409,1772314981.4619145
tcp,0,10,1024,8,1.7164,0.2372,1772314981.4621537
tcp,0,10,1024,9,1.7164,0.2905,1772314981.4624465
tcp,0,10,1024,10,1.7164,0.2169,1772314981.4626648
tcp,0,10,1024,11,1.7164,0.1908,1772314981.4628575
tcp,0,10,1024,12,1.7164,0.2298,1772314981.4630892
tcp,0,10,1024,13,1.7164,0.2804,1772314981.4633713
tcp,0,10,1024,14,1.7164,0.4836,1772314981.4638567
tcp,0,10,1024,15,1.7164,0.2224,1772314981.4640815
tcp,0,10,1024,16,1.7164,0.2819,1772314981.4643652
tcp,0,10,1024,17,1.7164,0.2503,1772314981.464618
tcp,0,10,1024,18,1.7164,0.2669,1772314981.4648867
tcp,0,10,1024,19,1.7164,0.2808,1772314981.46517
tcp,0,10,1024,20,1.7164,0.3585,1772314981.4655304
tcp,0,10,1024,21,1.7164,0.3198,1772314981.4658523
tcp,0,10,1024,22,1.7164,0.2217,1772314981.466076
tcp,0,10,1024,23,1.7164,0.2387,1772314981.4663165
tcp,0,10,1024,24,1.7164,0.2045,1772314981.4665232
tcp,0,10,1024,25,1.7164,0.2263,1772314981.4667516
tcp,0,10,1024,26,1.7164,0.308,1772314981.4670615
tcp,0,10,1024,27,1.7164,0.2865,1772314981.4673495
tcp,0,10,1024,28,1.7164,0.2365,1772314981.4675875
tcp,0,10,1024,29,1.7164,0.2139,1772314981.4678028
tcp,0,10,1024,30,1.7164,0.3125,1772314981.4681172
tcp,0,10,1024,31,1.7164,0.3513,1772314981.4684708
tcp,0,10,1024,32,1.7164,0.3424,1772314981.468815
tcp,0,10,1024,33,1.7164,0.2727,1772314981.469092
tcp,0,10,1024,34,1.7164,0.2869,1772314981.4693806
tcp,0,10,1024,35,1.7164,0.2359,1772314981.4696188
tcp,0,10,1024,36,1.7164,0.2662,1772314981.4698868
tcp,0,10,1024,37,1.7164,0.2323,1772314981.4701226
tcp,0,10,1024,38,1.7164,0.2712,1772314981.4703956
tcp,0,10,1024,39,1.7164,0.2325,1772314981.4706318
tcp,0,10,1024,40,1.7164,0.2063,1772314981.47084
tcp,0,10,1024,41,1.7164,0.3277,1772314981.4711716
tcp,0,10,1024,42,1.7164,0.2232,1772314981.4713967
tcp,0,10,1024,43,1.7164,0.2875,1772314981.4716856
tcp,0,10,1024,44,1.7164,0.2155,1772314981.4719107
tcp,0,10,1024,45,1.7164,0.2151,1772314981.4721277
tcp,0,10,1024,46,1.7164,0.213,1772314981.4723427
tcp,0,10,1024,47,1.7164,0.2077,1772314981.4725525
tcp,0,10,1024,48,1.7164,0.2647,1772314981.472819
tcp,0,10,1024,49,1.7164,0.4027,1772314981.4732237
tcp,0,10,1024,50,1.7164,0.257,1772314981.4734826
tcp,0,10,1024,51,1.7164,0.2578,1772314981.4737418
tcp,0,10,1024,52,1.7164,0.2061,1772314981.47395
tcp,0,10,1024,53,1.7164,0.2745,1772314981.4742265
tcp,0,10,1024,54,1.7164,0.3829,1772314981.4746113
tcp,0,10,1024,55,1.7164,0.2298,1772314981.4748447
tcp,0,10,1024,56,1.7164,0.2215,1772314981.4750679
tcp,0,10,1024,57,1.7164,0.3436,1772314981.4754133
tcp,0,10,1024,58,1.7164,0.2832,1772314981.4756985
tcp,0,10,1024,59,1.7164,0.2273,1772314981.4759293
tcp,0,10,1024,60,1.7164,0.2384,1772314981.4761698
tcp,0,10,1024,61,1.7164,0.3599,1772314981.4765315
tcp,0,10,1024,62,1.7164,0.1596,1772314981.476693
tcp,0,10,1024,63,1.7164,0.3512,1772314981.4770458
tcp,0,10,1024,64,1.7164,0.2505,1772314981.477301
tcp,0,10,1024,65,1.7164,0.2949,1772314981.4775977
tcp,0,10,1024,66,1.7164,0.242,1772314981.4778411
tcp,0,10,1024,67,1.7164,0.2164,1772314981.4780593
tcp,0,10,1024,68,1.7164,0.3262,1772314981.4783869
tcp,0,10,1024,69,1.7164,0.2509,1772314981.4786417
tcp,0,10,1024,70,1.7164,0.3097,1772314981.4789531
tcp,0,10,1024,71,1.7164,0.1975,1772314981.4791539
tcp,0,10,1024,72,1.7164,0.2679,1772314981.4794235
tcp,0,10,1024,73,1.7164,0.303,1772314981.4797282
tcp,0,10,1024,74,1.7164,0.2867,1772314981.4800167
tcp,0,10,1024,75,1.7164,0.3927,1772314981.4804113
tcp,0,10,1024,76,1.7164,0.3495,1772314981.4807625
tcp,0,10,1024,77,1.7164,0.2179,1772314981.4809825
tcp,0,10,1024,78,1.7164,0.2237,1772314981.481208
tcp,0,10,1024,79,1.7164,0.3865,1772314981.4815967
tcp,0,10,1024,80,1.7164,0.2219,1772314981.4818203
tcp,0,10,1024,81,1.7164,0.2168,1772314981.482039
tcp,0,10,1024,82,1.7164,0.2511,1772314981.4822931
tcp,0,10,1024,83,1.7164,0.2369,1772314981.4825318
tcp,0,10,1024,84,1.7164,0.2158,1772314981.4827492
tcp,0,10,1024,85,1.7164,0.2539,1772314981.4830046
tcp,0,10,1024,86,1.7164,0.1613,1772314981.4831674
tcp,0,10,1024,87,1.7164,0.2193,1772314981.483389
tcp,0,10,1024,88,1.7164,0.2725,1772314981.4836636
tcp,0,10,1024,89,1.7164,0.2701,1772314981.4839377
tcp,0,10,1024,90,1.7164,0.1644,1772314981.4841042
tcp,0,10,1024,91,1.7164,0.2438,1772314981.48435
tcp,0,10,1024,92,1.7164,0.3349,1772314981.4846866
tcp,0,10,1024,93,1.7164,0.2488,1772314981.4849374
tcp,0,10,1024,94,1.7164,0.2172,1772314981.4851568
tcp,0,10,1024,95,1.7164,0.2368,1772314981.4853957
tcp,0,10,1024,96,1.7164,0.3394,1772314981.4857368
tcp,0,10,1024,97,1.7164,0.3365,1772314981.486075
tcp,0,10,1024,98,1.7164,0.306,1772314981.486383
tcp,0,10,1024,99,1.7164,0.2159,1772314981.4866002
tcp,1,10,1024,0,1.6071,1.7104,1772314981.4593713
tcp,1,10,1024,1,1.6071,0.4643,1772314981.4598386
tcp,1,10,1024,2,1.6071,0.3175,1772314981.460159
tcp,1,10,1024,3,1.6071,0.4632,1772314981.4606245
tcp,1,10,1024,4,1.6071,0.2916,1772314981.460918
tcp,1,10,1024,5,1.6071,0.2386,1772314981.4611595
tcp,1,10,1024,6,1.6071,0.5243,1772314981.4616857
tcp,1,10,1024,7,1.6071,0.2141,1772314981.461902
tcp,1,10,1024,8,1.6071,0.2366,1772314981.4621406
tcp,1,10,1024,9,1.6071,0.2907,1772314981.4624336
tcp,1,10,1024,10,1.6071,0.2231,1772314981.4626584
tcp,1,10,1024,11,1.6071,0.1912,1772314981.462851
tcp,1,10,1024,12,1.6071,0.3306,1772314981.4631836
tcp,1,10,1024,13,1.6071,0.2689,1772314981.4634545
tcp,1,10,1024,14,1.6071,0.4048,1772314981.4638612
tcp,1,10,1024,15,1.6071,0.2251,1772314981.4640882
tcp,1,10,1024,16,1.6071,0.295,1772314981.4643853
tcp,1,10,1024,17,1.6071,0.4072,1772314981.4647973
tcp,1,10,1024,18,1.6071,0.3266,1772314981.4651258
tcp,1,10,1024,19,1.6071,0.3357,1772314981.4654636
tcp,1,10,1024,20,1.6071,0.1953,1772314981.4656608
tcp,1,10,1024,21,1.6071,0.227,1772314981.4658895
tcp,1,10,1024,22,1.6071,0.2541,1772314981.4661455
tcp,1,10,1024,23,1.6071,0.2261,1772314981.4663734
tcp,1,10,1024,24,1.6071,0.2021,1772314981.466577
tcp,1,10,1024,25,1.6071,0.2467,1772314981.4668257
tcp,1,10,1024,26,1.6071,0.2769,1772314981.4671042
tcp,1,10,1024,27,1.6071,0.3442,1772314981.4674504
tcp,1,10,1024,28,1.6071,0.3137,1772314981.4677658
tcp,1,10,1024,29,1.6071,0.3428,1772314981.4681103
tcp,1,10,1024,30,1.6071,0.3877,1772314981.4685
tcp,1,10,1024,31,1.6071,0.4163,1772314981.4689183
tcp,1,10,1024,32,1.6071,0.2884,1772314981.4692085
tcp,1,10,1024,33,1.6071,0.3131,1772314981.4695234
tcp,1,10,1024,34,1.6071,0.2223,1772314981.4697475
tcp,1,10,1024,35,1.6071,0.3174,1772314981.4700668
tcp,1,10,1024,36,1.6071,0.2144,1772314981.4702847
tcp,1,10,1024,37,1.6071,0.2867,1772314981.470573
tcp,1,10,1024,38,1.6071,0.239,1772314981.4708138
tcp,1,10,1024,39,1.6071,0.2918,1772314981.471107
tcp,1,10,1024,40,1.6071,0.2282,1772314981.4713368
tcp,1,10,1024,41,1.6071,0.1921,1772314981.4715304
tcp,1,10,1024,42,1.6071,0.1854,1772314981.4717176
tcp,1,10,1024,43,1.6071,0.2034,1772314981.4719226
tcp,1,10,1024,44,1.6071,0.2352,1772314981.4721594
tcp,1,10,1024,45,1.6071,0.21,1772314981.4723713
tcp,1,10,1024,46,1.6071,0.4387,1772314981.4728117
tcp,1,10,1024,47,1.6071,0.3893,1772314981.473203
tcp,1,10,1024,48,1.6071,0.2279,1772314981.4734328
tcp,1,10,1024,49,1.6071,0.2087,1772314981.4736433
tcp,1,10,1024,50,1.6071,0.2675,1772314981.4739127
tcp,1,10,1024,51,1.6071,0.253,1772314981.474168
tcp,1,10,1024,52,1.6071,0.2152,1772314981.4743853
tcp,1,10,1024,53,1.6071,0.2643,1772314981.4746516
tcp,1,10,1024,54,1.6071,0.3201,1772314981.4749737
tcp,1,10,1024,55,1.6071,0.2879,1772314981.475263
tcp,1,10,1024,56,1.6071,0.202,1772314981.4754672
tcp,1,10,1024,57,1.6071,0.3028,1772314981.4757717
tcp,1,10,1024,58,1.6071,0.2596,1772314981.4760327
tcp,1,10,1024,59,1.6071,0.2197,1772314981.4762542
tcp,1,10,1024,60,1.6071,0.3332,1772314981.476589
tcp,1,10,1024,61,1.6071,0.3044,1772314981.4768953
tcp,1,10,1024,62,1.6071,0.2226,1772314981.4771197
tcp,1,10,1024,63,1.6071,0.2042,1772314981.477326
tcp,1,10,1024,64,1.6071,0.2819,1772314981.4776094
tcp,1,10,1024,65,1.6071,0.3011,1772314981.4779127
tcp,1,10,1024,66,1.6071,0.2238,1772314981.4781382
tcp,1,10,1024,67,1.6071,0.3296,1772314981.4784694
tcp,1,10,1024,68,1.6071,0.2372,1772314981.4787087
tcp,1,10,1024,69,1.6071,0.2516,1772314981.4789627
tcp,1,10,1024,70,1.6071,0.1927,1772314981.4791572
tcp,1,10,1024,71,1.6071,0.2707,1772314981.4794297
tcp,1,10,1024,72,1.6071,0.2903,1772314981.479722
tcp,1,10,1024,73,1.6071,0.2345,1772314981.4799583
tcp,1,10,1024,74,1.6071,0.3183,1772314981.4802787
tcp,1,10,1024,75,1.6071,0.2302,1772314981.480511
tcp,1,10,1024,76,1.6071,0.185,1772314981.4806979
tcp,1,10,1024,77,1.6071,0.2698,1772314981.48097
tcp,1,10,1024,78,1.6071,0.1643,1772314981.4811358
tcp,1,10,1024,79,1.6071,0.2486,1772314981.4813862
tcp,1,10,1024,80,1.6071,0.2018,1772314981.4815898
tcp,1,10,1024,81,1.6071,0.1825,1772314981.4817739
tcp,1,10,1024,82,1.6071,0.2291,1772314981.4820046
tcp,1,10,1024,83,1.6071,0.2305,1772314981.482237
tcp,1,10,1024,84,1.6071,0.2031,1772314981.482442
tcp,1,10,1024,85,1.6071,0.234,1772314981.4826775
tcp,1,10,1024,86,1.6071,0.2651,1772314981.4829443
tcp,1,10,1024,87,1.6071,0.1626,1772314981.4831083
tcp,1,10,1024,88,1.6071,0.2557,1772314981.4833658
tcp,1,10,1024,89,1.6071,0.2047,1772314981.4835725
tcp,1,10,1024,90,1.6071,0.2328,1772314981.4838073
tcp,1,10,1024,91,1.6071,0.2139,1772314981.484023
tcp,1,10,1024,92,1.6071,0.317,1772314981.484342
tcp,1,10,1024,93,1.6071,0.4285,1772314981.4847722
tcp,1,10,1024,94,1.6071,0.269,1772314981.485043
tcp,1,10,1024,95,1.6071,0.2508,1772314981.4852955
tcp,1,10,1024,96,1.6071,0.258,1772314981.4855554
tcp,1,10,1024,97,1.6071,0.1968,1772314981.4857543
tcp,1,10,1024,98,1.6071,0.394,1772314981.4861505
tcp,1,10,1024,99,1.6071,0.184,1772314981.4863362
tcp,2,10,1024,0,1.4898,2.1669,1772314981.459831
tcp,2,10,1024,1,1.4898,0.5121,1772314981.4603457
tcp,2,10,1024,2,1.4898,0.3781,1772314981.460726
tcp,2,10,1024,3,1.4898,0.3549,1772314981.461083
tcp,2,10,1024,4,1.4898,0.3615,1772314981.4614494
tcp,2,10,1024,5,1.4898,0.2836,1772314981.461735
tcp,2,10,1024,6,1.4898,0.2223,1772314981.4619594
tcp,2,10,1024,7,1.4898,0.3817,1772314981.4623432
tcp,2,10,1024,8,1.4898,0.2042,1772314981.4625494
tcp,2,10,1024,9,1.4898,0.3127,1772314981.4628644
tcp,2,10,1024,10,1.4898,0.2292,1772314981.4630952
tcp,2,10,1024,11,1.4898,0.3507,1772314981.4634478
tcp,2,10,1024,12,1.4898,0.4993,1772314981.4639487
tcp,2,10,1024,13,1.4898,0.2636,1772314981.464214
tcp,2,10,1024,14,1.4898,0.3879,1772314981.4646034
tcp,2,10,1024,15,1.4898,0.2338,1772314981.464839
tcp,2,10,1024,16,1.4898,0.3063,1772314981.4651468
tcp,2,10,1024,17,1.4898,0.3227,1772314981.4654717
tcp,2,10,1024,18,1.4898,0.1919,1772314981.4656675
tcp,2,10,1024,19,1.4898,0.2749,1772314981.4659443
tcp,2,10,1024,20,1.4898,0.2321,1772314981.4661798
tcp,2,10,1024,21,1.4898,0.246,1772314981.4664276
tcp,2,10,1024,22,1.4898,0.3011,1772314981.4667306
tcp,2,10,1024,23,1.4898,0.2553,1772314981.4669878
tcp,2,10,1024,24,1.4898,0.1572,1772314981.4671466
tcp,2,10,1024,25,1.4898,0.2883,1772314981.4674368
tcp,2,10,1024,26,1.4898,0.3711,1772314981.4678097
tcp,2,10,1024,27,1.4898,0.3638,1772314981.4681756
tcp,2,10,1024,28,1.4898,0.3049,1772314981.4684823
tcp,2,10,1024,29,1.4898,0.3416,1772314981.4688258
tcp,2,10,1024,30,1.4898,0.3604,1772314981.4691885
tcp,2,10,1024,31,1.4898,0.3243,1772314981.4695148
tcp,2,10,1024,32,1.4898,0.2406,1772314981.4697576
tcp,2,10,1024,33,1.4898,0.3703,1772314981.4701297
tcp,2,10,1024,34,1.4898,0.2728,1772314981.4704046
tcp,2,10,1024,35,1.4898,0.2299,1772314981.4706366
tcp,2,10,1024,36,1.4898,0.2546,1772314981.4708931
tcp,2,10,1024,37,1.4898,0.2429,1772314981.471138
tcp,2,10,1024,38,1.4898,0.3474,1772314981.4714875
tcp,2,10,1024,39,1.4898,0.2467,1772314981.471736
tcp,2,10,1024,40,1.4898,0.3216,1772314981.47206
tcp,2,10,1024,41,1.4898,0.2279,1772314981.4722898
tcp,2,10,1024,42,1.4898,0.2254,1772314981.472517
tcp,2,10,1024,43,1.4898,0.3287,1772314981.4728477
tcp,2,10,1024,44,1.4898,0.4667,1772314981.473316
tcp,2,10,1024,45,1.4898,0.2233,1772314981.4735408
tcp,2,10,1024,46,1.4898,0.3767,1772314981.4739192
tcp,2,10,1024,47,1.4898,0.2537,1772314981.4741747
tcp,2,10,1024,48,1.4898,0.296,1772314981.4744723
tcp,2,10,1024,49,1.4898,0.197,1772314981.474671
tcp,2,10,1024,50,1.4898,0.2538,1772314981.4749267
tcp,2,10,1024,51,1.4898,0.2171,1772314981.4751456
tcp,2,10,1024,52,1.4898,0.3788,1772314981.475526
tcp,2,10,1024,53,1.4898,0.3562,1772314981.4758859
tcp,2,10,1024,54,1.4898,0.2886,1772314981.4761765
tcp,2,10,1024,55,1.4898,0.5215,1772314981.4766996
tcp,2,10,1024,56,1.4898,0.3576,1772314981.4770594
tcp,2,10,1024,57,1.4898,0.2483,1772314981.4773097
tcp,2,10,1024,58,1.4898,0.3025,1772314981.4776163
tcp,2,10,1024,59,1.4898,0.3059,1772314981.4779243
tcp,2,10,1024,60,1.4898,0.2152,1772314981.4781418
tcp,2,10,1024,61,1.4898,0.2791,1772314981.4784226
tcp,2,10,1024,62,1.4898,0.3222,1772314981.4787781
tcp,2,10,1024,63,1.4898,0.321,1772314981.4791012
tcp,2,10,1024,64,1.4898,0.2975,1772314981.4794004
tcp,2,10,1024,65,1.4898,0.2681,1772314981.4796703
tcp,2,10,1024,66,1.4898,0.2722,1772314981.4799445
tcp,2,10,1024,67,1.4898,0.34,1772314981.4802864
tcp,2,10,1024,68,1.4898,0.2576,1772314981.480546
tcp,2,10,1024,69,1.4898,0.2681,1772314981.480819
tcp,2,10,1024,70,1.4898,0.2099,1772314981.4810305
tcp,2,10,1024,71,1.4898,0.188,1772314981.4812202
tcp,2,10,1024,72,1.4898,0.4207,1772314981.4816432
tcp,2,10,1024,73,1.4898,0.235,1772314981.4818797
tcp,2,10,1024,74,1.4898,0.1656,1772314981.482047
tcp,2,10,1024,75,1.4898,0.2509,1772314981.4822993
tcp,2,10,1024,76,1.4898,0.2382,1772314981.4825392
tcp,2,10,1024,77,1.4898,0.2143,1772314981.4827554
tcp,2,10,1024,78,1.4898,0.3153,1772314981.4830723
